시가총액	상장주식수	액면가	매매단위	외국인한도주식수	외국인보유주식수	외국인소진율	투자의견	목표주가	PER_202009	EPS_202009	추정PER	추정EPS	PBR_202009	BPS_202009	배당수익률	동일업종PER	동일업종등락률
408	56849517	500	1	56849517	2175139	3.83	NA	NA	NA	-615	NA	NA	1.56	460	NA	43.41	4.89
"1,505"	26735890	500	1	26735890	130830	0.49	NA	NA	NA	-1995	NA	NA	1.25	4501	NA	30.14	2.17
828	12996741	500	1	12996741	994023	7.65	NA	NA	NA	-766	NA	NA	0.41	15361	NA	-19.08	0.72
"1,976"	13127849	500	1	13127849	46011	0.35	NA	NA	NA	-2393	NA	NA	3.97	3790	NA	25.31	1.67
"6조 1,807"	35623760	500	1	35623760	1385643	3.89	4	254000	NA	NA	53.68	3232	NA	NA	NA	-18.79	3.6
"5,527"	9851241	5000	1	9851241	2509396	25.47	4	78333	11.03	5084	11.2	5008	0.82	68587	NA	27.45	1.17
"1,526"	9164467	5000	1	9164467	56243	0.61	NA	NA	6.89	2417	NA	NA	0.35	48014	NA	27.45	1.17
"1,482"	141144600	500	1	141144600	2041441	1.45	NA	NA	19.81	53	NA	NA	0.68	1550	NA	27.45	1.17
"1,732"	5000000	5000	1	5000000	180388	3.61	NA	NA	NA	-1922	NA	NA	0.42	83421	NA	27.45	1.17
978	17218543	1000	1	17218543	348890	2.03	NA	NA	NA	-269	NA	NA	0.47	12146	NA	27.45	1.17
966	9422739	5000	1	9422739	94292	1	NA	NA	4.74	2164	NA	NA	0.53	19348	NA	27.45	1.17
"5,117"	137546368	1000	1	137546368	1016755	0.74	NA	NA	60	62	NA	NA	2.37	1568	NA	7.42	4.06
"50조 3,356"	68764530	5000	1	68764530	30355162	44.14	4	768500	249.74	2931	86.63	8450	3.89	188329	NA	189.41	3.74
743	8126314	500	1	8126314	674517	8.3	NA	NA	38.73	236	NA	NA	0.34	27138	NA	43.41	4.89
"26조 9,117"	186887081	100	1	186887081	27901701	14.93	4	161583	24.12	5969	25	5761	0.97	147844	NA	29.15	1.43
"52조 6,673"	66165000	2500	1	66165000	6863522	10.37	4	949333	148.2	5371	231.73	3435	11.71	67994	NA	99.27	0.31
"15조 9,200"	200000000	500	1	200000000	24658518	12.33	3.8	85900	15.99	4979	13.78	5778	0.38	210200	NA	13.15	1.53
